TRADEDATE,CLOSE,NAME
2013-10-31,57.4,AFLT
2013-11-01,57.38,AFLT
2013-11-05,56.85,AFLT
2013-11-06,57.4,AFLT
2013-11-07,58.45,AFLT
2013-11-08,57.1,AFLT
2013-11-11,57.47,AFLT
2013-11-12,57.88,AFLT
2013-11-13,57.83,AFLT
2013-11-14,59.51,AFLT
2013-11-15,59.88,AFLT
2013-11-18,59.81,AFLT
2013-11-19,58.68,AFLT
2013-11-20,57.6,AFLT
2013-11-21,57.78,AFLT
2013-11-22,58.29,AFLT
2013-11-25,58.26,AFLT
2013-11-26,57.57,AFLT
2013-11-27,57.19,AFLT
2013-11-28,58.44,AFLT
2013-11-29,60.42,AFLT
2013-12-02,62.69,AFLT
2013-12-03,63.12,AFLT
2013-12-04,67.46,AFLT
2013-12-05,66.72,AFLT
2013-12-06,68.8,AFLT
2013-12-09,72.48,AFLT
2013-12-10,74.1,AFLT
2013-12-11,73.09,AFLT
2013-12-12,73.65,AFLT
2013-12-13,76.75,AFLT
2013-12-16,79.66,AFLT
2013-12-17,79.24,AFLT
2013-12-18,77.17,AFLT
2013-12-19,78.0,AFLT
2013-12-20,79.23,AFLT
2013-12-23,81.56,AFLT
2013-12-24,85.0,AFLT
2013-12-25,85.05,AFLT
2013-12-26,84.54,AFLT
2013-12-27,82.5,AFLT
2013-12-30,83.7,AFLT
2014-01-06,83.24,AFLT
2014-01-08,83.41,AFLT
2014-01-09,82.9,AFLT
2014-01-10,82.83,AFLT
2014-01-13,87.87,AFLT
2014-01-14,84.96,AFLT
2014-01-15,83.9,AFLT
2014-01-16,84.8,AFLT
2014-01-17,84.25,AFLT
2014-01-20,85.46,AFLT
2014-01-21,81.35,AFLT
2014-01-22,78.78,AFLT
2014-01-23,79.79,AFLT
2014-01-24,78.7,AFLT
2014-01-27,81.9,AFLT
2014-01-28,81.75,AFLT
2014-01-29,81.38,AFLT
2014-01-30,81.44,AFLT
2014-01-31,83.0,AFLT
2014-02-03,80.0,AFLT
2014-02-04,76.65,AFLT
2014-02-05,76.12,AFLT
2014-02-06,78.9,AFLT
2014-02-07,79.5,AFLT
2014-02-10,79.51,AFLT
2014-02-11,80.7,AFLT
2014-02-12,82.02,AFLT
2014-02-13,80.6,AFLT
2014-02-14,80.28,AFLT
2014-02-17,80.75,AFLT
2014-02-18,80.0,AFLT
2014-02-19,78.1,AFLT
2014-02-20,77.8,AFLT
2014-02-21,77.88,AFLT
2014-02-24,76.9,AFLT
2014-02-25,77.39,AFLT
2014-02-26,77.6,AFLT
2014-02-27,72.71,AFLT
2014-02-28,70.61,AFLT
2014-03-03,59.0,AFLT
2014-03-04,60.6,AFLT
2014-03-05,62.18,AFLT
2014-03-06,62.4,AFLT
2014-03-07,61.08,AFLT
2014-03-11,59.38,AFLT
2014-03-12,58.55,AFLT
2014-03-13,52.8,AFLT
2014-03-14,47.29,AFLT
2014-03-17,46.62,AFLT
2014-03-18,48.6,AFLT
2014-03-19,53.89,AFLT
2014-03-20,56.45,AFLT
2014-03-21,55.15,AFLT
2014-03-24,53.74,AFLT
2014-03-25,54.24,AFLT
2014-03-26,55.35,AFLT
2014-03-27,53.11,AFLT
2014-03-28,53.85,AFLT
2014-03-31,55.2,AFLT
2014-04-01,55.97,AFLT
2014-04-02,55.78,AFLT
2014-04-03,55.8,AFLT
2014-04-04,56.02,AFLT
2014-04-07,53.45,AFLT
2014-04-08,53.39,AFLT
2014-04-09,53.85,AFLT
2014-04-10,54.15,AFLT
2014-04-11,53.4,AFLT
2014-04-14,52.85,AFLT
2014-04-15,49.68,AFLT
2014-04-16,51.8,AFLT
2014-04-17,53.0,AFLT
2014-04-18,53.75,AFLT
2014-04-21,53.65,AFLT
2014-04-22,52.34,AFLT
2014-04-23,51.76,AFLT
2014-04-24,50.64,AFLT
2014-04-25,49.25,AFLT
2014-04-28,50.46,AFLT
2014-04-29,50.95,AFLT
2014-04-30,50.92,AFLT
2014-05-02,50.35,AFLT
2014-05-05,50.25,AFLT
2014-05-06,50.55,AFLT
2014-05-07,52.17,AFLT
2014-05-08,51.49,AFLT
2014-05-12,51.61,AFLT
2014-05-13,52.8,AFLT
2014-05-14,53.0,AFLT
2014-05-15,52.24,AFLT
2014-05-16,52.65,AFLT
2014-05-19,53.55,AFLT
2014-05-20,53.61,AFLT
2014-05-21,54.2,AFLT
2014-05-22,53.11,AFLT
2014-05-23,53.89,AFLT
2014-05-26,53.99,AFLT
2014-05-27,53.32,AFLT
2014-05-28,54.0,AFLT
2014-05-29,55.3,AFLT
2014-05-30,55.15,AFLT
2014-06-02,57.04,AFLT
2014-06-03,57.8,AFLT
2014-06-04,57.2,AFLT
2014-06-05,57.57,AFLT
2014-06-06,57.59,AFLT
2014-06-09,58.84,AFLT
2014-06-10,58.85,AFLT
2014-06-11,58.74,AFLT
2014-06-16,56.89,AFLT
2014-06-17,55.06,AFLT
2014-06-18,55.3,AFLT
2014-06-19,55.64,AFLT
2014-06-20,55.68,AFLT
2014-06-23,56.38,AFLT
2014-06-24,58.49,AFLT
2014-06-25,56.75,AFLT
2014-06-26,56.44,AFLT
2014-06-27,55.6,AFLT
2014-06-30,56.43,AFLT
2014-07-01,56.68,AFLT
2014-07-02,57.1,AFLT
2014-07-03,57.09,AFLT
2014-07-04,57.3,AFLT
2014-07-07,58.26,AFLT
2014-07-08,59.34,AFLT
2014-07-09,59.73,AFLT
2014-07-10,58.66,AFLT
2014-07-11,59.1,AFLT
2014-07-14,59.5,AFLT
2014-07-15,59.0,AFLT
2014-07-16,59.43,AFLT
2014-07-17,57.33,AFLT
2014-07-18,54.4,AFLT
2014-07-21,52.02,AFLT
2014-07-22,53.73,AFLT
2014-07-23,53.98,AFLT
2014-07-24,53.76,AFLT
2014-07-25,52.28,AFLT
2014-07-28,50.48,AFLT
2014-07-29,50.44,AFLT
2014-07-30,50.5,AFLT
2014-07-31,50.55,AFLT
2014-08-01,49.53,AFLT
2014-08-04,49.9,AFLT
2014-08-05,46.97,AFLT
2014-08-06,44.62,AFLT
2014-08-07,44.44,AFLT
2014-08-08,44.71,AFLT
2014-08-11,46.1,AFLT
2014-08-12,45.4,AFLT
2014-08-13,46.4,AFLT
2014-08-14,48.25,AFLT
2014-08-15,48.6,AFLT
2014-08-18,49.17,AFLT
2014-08-19,49.71,AFLT
2014-08-20,49.6,AFLT
2014-08-21,50.0,AFLT
2014-08-22,48.88,AFLT
2014-08-25,49.41,AFLT
2014-08-26,48.31,AFLT
2014-08-27,48.37,AFLT
2014-08-28,46.7,AFLT
2014-08-29,46.73,AFLT
2014-09-01,47.1,AFLT
2014-09-02,46.6,AFLT
2014-09-03,47.82,AFLT
2014-09-04,47.29,AFLT
2014-09-05,47.8,AFLT
2014-09-08,46.79,AFLT
2014-09-09,47.1,AFLT
2014-09-10,47.1,AFLT
2014-09-11,45.63,AFLT
2014-09-12,46.25,AFLT
2014-09-15,46.22,AFLT
2014-09-16,46.65,AFLT
2014-09-17,46.0,AFLT
2014-09-18,45.44,AFLT
2014-09-19,45.8,AFLT
2014-09-22,45.29,AFLT
2014-09-23,45.4,AFLT
2014-09-24,44.8,AFLT
2014-09-25,44.45,AFLT
2014-09-26,43.6,AFLT
2014-09-29,43.49,AFLT
2014-09-30,43.25,AFLT
2014-10-01,42.83,AFLT
2014-10-02,42.68,AFLT
2014-10-03,42.25,AFLT
2014-10-06,42.2,AFLT
2014-10-07,42.48,AFLT
2014-10-08,41.53,AFLT
2014-10-09,40.9,AFLT
2014-10-10,40.13,AFLT
2014-10-13,39.75,AFLT
2014-10-14,39.95,AFLT
2014-10-15,40.24,AFLT
2014-10-16,39.69,AFLT
2014-10-17,40.48,AFLT
2014-10-20,40.05,AFLT
2014-10-21,39.72,AFLT
2014-10-22,38.5,AFLT
2014-10-23,37.23,AFLT
2014-10-24,37.3,AFLT
2014-10-27,37.61,AFLT
2014-10-28,38.14,AFLT
2014-10-29,38.0,AFLT
2014-10-30,38.01,AFLT
2014-10-31,38.2,AFLT
2014-11-03,38.32,AFLT
2014-11-05,39.65,AFLT
2014-11-06,41.37,AFLT
2014-11-07,41.31,AFLT
2014-11-10,43.98,AFLT
2014-11-11,44.28,AFLT
2014-11-12,43.46,AFLT
2014-11-13,41.4,AFLT
2014-11-14,41.5,AFLT
2014-11-17,41.0,AFLT
2014-11-18,41.15,AFLT
2014-11-19,39.91,AFLT
2014-11-20,42.01,AFLT
2014-11-21,42.9,AFLT
2014-11-24,41.7,AFLT
2014-11-25,42.28,AFLT
2014-11-26,41.88,AFLT
2014-11-27,41.15,AFLT
2014-11-28,41.78,AFLT
2014-12-01,41.75,AFLT
2014-12-02,41.83,AFLT
2014-12-03,40.99,AFLT
2014-12-04,40.43,AFLT
2014-12-05,38.17,AFLT
2014-12-08,37.77,AFLT
2014-12-09,37.44,AFLT
2014-12-10,38.19,AFLT
2014-12-11,37.17,AFLT
2014-12-12,37.29,AFLT
2014-12-15,35.62,AFLT
2014-12-16,29.86,AFLT
2014-12-17,30.0,AFLT
2014-12-18,31.0,AFLT
2014-12-19,32.5,AFLT
2014-12-22,33.1,AFLT
2014-12-23,33.8,AFLT
2014-12-24,33.55,AFLT
2014-12-25,33.89,AFLT
2014-12-26,33.57,AFLT
2014-12-29,32.75,AFLT
2014-12-30,32.23,AFLT
2015-01-05,33.21,AFLT
2015-01-06,33.07,AFLT
2015-01-08,35.17,AFLT
2015-01-09,34.0,AFLT
2015-01-12,34.45,AFLT
2015-01-13,35.0,AFLT
2015-01-14,36.55,AFLT
2015-01-15,36.65,AFLT
2015-01-16,36.05,AFLT
2015-01-19,36.34,AFLT
2015-01-20,37.2,AFLT
2015-01-21,38.1,AFLT
2015-01-22,39.55,AFLT
2015-01-23,40.15,AFLT
2015-01-26,38.26,AFLT
2015-01-27,38.0,AFLT
2015-01-28,38.11,AFLT
2015-01-29,37.3,AFLT
2015-01-30,38.25,AFLT
2015-02-02,37.34,AFLT
2015-02-03,37.55,AFLT
2015-02-04,37.09,AFLT
2015-02-05,37.75,AFLT
2015-02-06,38.0,AFLT
2015-02-09,37.6,AFLT
2015-02-10,37.83,AFLT
2015-02-11,38.0,AFLT
2015-02-12,39.39,AFLT
2015-02-13,40.4,AFLT
2015-02-16,40.41,AFLT
2015-02-17,40.15,AFLT
2015-02-18,40.98,AFLT
2015-02-19,39.93,AFLT
2015-02-20,40.0,AFLT
2015-02-24,39.6,AFLT
2015-02-25,38.99,AFLT
2015-02-26,39.5,AFLT
2015-02-27,39.19,AFLT
2015-03-02,39.5,AFLT
2015-03-03,39.89,AFLT
2015-03-04,38.55,AFLT
2015-03-05,38.47,AFLT
2015-03-06,38.96,AFLT
2015-03-10,36.65,AFLT
2015-03-11,36.65,AFLT
2015-03-12,38.45,AFLT
2015-03-13,37.18,AFLT
2015-03-16,36.5,AFLT
2015-03-17,35.01,AFLT
2015-03-18,35.1,AFLT
2015-03-19,35.0,AFLT
2015-03-20,33.5,AFLT
2015-03-23,34.0,AFLT
2015-03-24,34.24,AFLT
2015-03-25,33.6,AFLT
2015-03-26,32.5,AFLT
2015-03-27,32.7,AFLT
2015-03-30,34.04,AFLT
2015-03-31,34.0,AFLT
2015-04-01,36.14,AFLT
2015-04-02,35.76,AFLT
2015-04-03,35.76,AFLT
2015-04-06,36.5,AFLT
2015-04-07,36.6,AFLT
2015-04-08,35.75,AFLT
2015-04-09,35.1,AFLT
2015-04-10,38.0,AFLT
2015-04-13,37.13,AFLT
2015-04-14,37.7,AFLT
2015-04-15,38.5,AFLT
2015-04-16,39.16,AFLT
2015-04-17,38.28,AFLT
2015-04-20,37.75,AFLT
2015-04-21,37.72,AFLT
2015-04-22,38.99,AFLT
2015-04-23,38.65,AFLT
2015-04-24,39.2,AFLT
2015-04-27,39.33,AFLT
2015-04-28,39.0,AFLT
2015-04-29,39.5,AFLT
2015-04-30,38.15,AFLT
2015-05-05,40.2,AFLT
2015-05-06,40.41,AFLT
2015-05-07,40.02,AFLT
2015-05-08,40.7,AFLT
2015-05-12,40.5,AFLT
2015-05-13,41.49,AFLT
2015-05-14,41.09,AFLT
2015-05-15,40.61,AFLT
2015-05-18,40.52,AFLT
2015-05-19,39.9,AFLT
2015-05-20,38.85,AFLT
2015-05-21,39.28,AFLT
2015-05-22,41.2,AFLT
2015-05-25,41.1,AFLT
2015-05-26,40.23,AFLT
2015-05-27,40.4,AFLT
2015-05-28,40.75,AFLT
2015-05-29,41.1,AFLT
2015-06-01,40.53,AFLT
2015-06-02,40.0,AFLT
2015-06-03,39.3,AFLT
2015-06-04,40.07,AFLT
2015-06-05,39.8,AFLT
2015-06-08,40.0,AFLT
2015-06-09,40.8,AFLT
2015-06-10,41.1,AFLT
2015-06-11,39.78,AFLT
2015-06-15,39.45,AFLT
2015-06-16,39.7,AFLT
2015-06-17,39.27,AFLT
2015-06-18,38.97,AFLT
2015-06-19,37.9,AFLT
2015-06-22,38.78,AFLT
2015-06-23,39.04,AFLT
2015-06-24,38.72,AFLT
2015-06-25,38.3,AFLT
2015-06-26,39.16,AFLT
2015-06-29,38.0,AFLT
2015-06-30,38.24,AFLT
2015-07-01,37.3,AFLT
2015-07-02,37.0,AFLT
2015-07-03,37.05,AFLT
2015-07-06,36.67,AFLT
2015-07-07,36.75,AFLT
2015-07-08,38.0,AFLT
2015-07-09,38.05,AFLT
2015-07-10,38.07,AFLT
2015-07-13,38.1,AFLT
2015-07-14,38.94,AFLT
2015-07-15,38.96,AFLT
2015-07-16,39.55,AFLT
2015-07-17,39.55,AFLT
2015-07-20,38.82,AFLT
2015-07-21,39.1,AFLT
2015-07-22,39.0,AFLT
2015-07-23,39.33,AFLT
2015-07-24,39.13,AFLT
2015-07-27,38.6,AFLT
2015-07-28,38.12,AFLT
2015-07-29,38.97,AFLT
2015-07-30,39.22,AFLT
2015-07-31,39.35,AFLT
2015-08-03,39.3,AFLT
2015-08-04,39.3,AFLT
2015-08-05,40.5,AFLT
2015-08-06,39.9,AFLT
2015-08-07,40.52,AFLT
2015-08-10,40.23,AFLT
2015-08-11,40.19,AFLT
2015-08-12,40.18,AFLT
2015-08-13,40.1,AFLT
2015-08-14,39.87,AFLT
2015-08-17,39.8,AFLT
2015-08-18,39.95,AFLT
2015-08-19,39.9,AFLT
2015-08-20,39.8,AFLT
2015-08-21,39.0,AFLT
2015-08-24,37.73,AFLT
2015-08-25,38.74,AFLT
2015-08-26,38.95,AFLT
2015-08-27,38.8,AFLT
2015-08-28,39.04,AFLT
2015-08-31,40.0,AFLT
2015-09-01,37.7,AFLT
2015-09-02,36.27,AFLT
2015-09-03,35.7,AFLT
2015-09-04,34.85,AFLT
2015-09-07,34.1,AFLT
2015-09-08,33.51,AFLT
2015-09-09,34.97,AFLT
2015-09-10,35.66,AFLT
2015-09-11,35.55,AFLT
2015-09-14,36.25,AFLT
2015-09-15,36.2,AFLT
2015-09-16,36.15,AFLT
2015-09-17,35.83,AFLT
2015-09-18,36.53,AFLT
2015-09-21,35.95,AFLT
2015-09-22,35.51,AFLT
2015-09-23,35.31,AFLT
2015-09-24,34.67,AFLT
2015-09-25,35.33,AFLT
2015-09-28,34.53,AFLT
2015-09-29,34.6,AFLT
2015-09-30,35.23,AFLT
2015-10-01,36.1,AFLT
2015-10-02,38.8,AFLT
2015-10-05,38.92,AFLT
2015-10-06,39.43,AFLT
2015-10-07,40.8,AFLT
2015-10-08,41.6,AFLT
2015-10-09,43.31,AFLT
2015-10-12,44.42,AFLT
2015-10-13,44.9,AFLT
2015-10-14,47.39,AFLT
2015-10-15,49.0,AFLT
2015-10-16,48.9,AFLT
2015-10-19,48.11,AFLT
2015-10-20,49.31,AFLT
2015-10-21,47.8,AFLT
2015-10-22,49.23,AFLT
2015-10-23,48.26,AFLT
2015-10-26,48.07,AFLT
2015-10-27,47.23,AFLT
2015-10-28,47.52,AFLT
2015-10-29,47.44,AFLT
2015-10-30,49.0,AFLT
2015-11-02,49.3,AFLT
2015-11-03,52.52,AFLT
2015-11-05,51.96,AFLT
2015-11-06,51.94,AFLT
2015-11-09,52.41,AFLT
2015-11-10,51.84,AFLT
2015-11-11,53.53,AFLT
2015-11-12,53.47,AFLT
2015-11-13,53.39,AFLT
2015-11-16,52.3,AFLT
2015-11-17,54.9,AFLT
2015-11-18,57.09,AFLT
2015-11-19,56.45,AFLT
2015-11-20,57.86,AFLT
2015-11-23,57.52,AFLT
2015-11-24,55.77,AFLT
2015-11-25,56.67,AFLT
2015-11-26,55.12,AFLT
2015-11-27,55.42,AFLT
2015-11-30,58.91,AFLT
2015-12-01,61.0,AFLT
2015-12-02,57.6,AFLT
2015-12-03,56.51,AFLT
2015-12-04,57.33,AFLT
2015-12-07,59.0,AFLT
2015-12-08,56.91,AFLT
2015-12-09,58.4,AFLT
2015-12-10,59.84,AFLT
2015-12-11,58.5,AFLT
2015-12-14,58.0,AFLT
2015-12-15,57.2,AFLT
2015-12-16,56.45,AFLT
2015-12-17,57.15,AFLT
2015-12-18,56.51,AFLT
2015-12-21,56.9,AFLT
2015-12-22,57.5,AFLT
2015-12-23,57.01,AFLT
2015-12-24,56.8,AFLT
2015-12-25,56.74,AFLT
2015-12-28,56.29,AFLT
2015-12-29,56.11,AFLT
2015-12-30,56.1,AFLT
2016-01-04,56.2,AFLT
2016-01-05,54.45,AFLT
2016-01-06,54.05,AFLT
2016-01-11,52.06,AFLT
2016-01-12,53.25,AFLT
2016-01-13,55.0,AFLT
2016-01-14,53.6,AFLT
2016-01-15,51.98,AFLT
2016-01-18,50.4,AFLT
2016-01-19,52.06,AFLT
2016-01-20,52.0,AFLT
2016-01-21,50.99,AFLT
2016-01-22,52.03,AFLT
2016-01-25,51.1,AFLT
2016-01-26,51.28,AFLT
2016-01-27,50.99,AFLT
2016-01-28,50.89,AFLT
2016-01-29,50.5,AFLT
2016-02-01,54.77,AFLT
2016-02-02,54.1,AFLT
2016-02-03,53.84,AFLT
2016-02-04,54.89,AFLT
2016-02-05,57.3,AFLT
2016-02-08,57.35,AFLT
2016-02-09,56.66,AFLT
2016-02-10,55.8,AFLT
2016-02-11,53.64,AFLT
2016-02-12,54.41,AFLT
2016-02-15,53.88,AFLT
2016-02-16,54.13,AFLT
2016-02-17,53.59,AFLT
2016-02-18,54.15,AFLT
2016-02-19,53.32,AFLT
2016-02-20,53.4,AFLT
2016-02-22,54.8,AFLT
2016-02-24,53.7,AFLT
2016-02-25,54.05,AFLT
2016-02-26,55.35,AFLT
2016-02-29,57.1,AFLT
2016-03-01,61.19,AFLT
2016-03-02,61.1,AFLT
2016-03-03,61.61,AFLT
2016-03-04,65.49,AFLT
2016-03-07,65.94,AFLT
2016-03-09,62.45,AFLT
2016-03-10,63.77,AFLT
2016-03-11,64.77,AFLT
2016-03-14,65.55,AFLT
2016-03-15,66.3,AFLT
2016-03-16,69.98,AFLT
2016-03-17,70.19,AFLT
2016-03-18,70.51,AFLT
2016-03-21,73.53,AFLT
2016-03-22,73.69,AFLT
2016-03-23,72.94,AFLT
2016-03-24,73.76,AFLT
2016-03-25,73.21,AFLT
2016-03-28,72.6,AFLT
2016-03-29,73.69,AFLT
2016-03-30,74.1,AFLT
2016-03-31,74.48,AFLT
2016-04-01,74.55,AFLT
2016-04-04,74.65,AFLT
2016-04-05,75.4,AFLT
2016-04-06,79.14,AFLT
2016-04-07,78.0,AFLT
2016-04-08,79.0,AFLT
2016-04-11,82.2,AFLT
2016-04-12,79.32,AFLT
2016-04-13,78.55,AFLT
2016-04-14,78.63,AFLT
2016-04-15,78.0,AFLT
2016-04-18,76.68,AFLT
